,Fall,College,Total,Male,Female,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois
12246,2017,Media,28,8,20,9,3.0,4.0,5.0,0.0,0.0,1.0,6.0,5.0,0.0,0.0,3.0,19,9.0
12247,2016,Media,27,10,17,10,5.0,4.0,5.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,5.0,18,9.0
12248,2016,Media,35,19,16,15,9.0,5.0,4.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,10.0,31,4.0
12249,2016,Media,35,9,26,14,7.0,3.0,4.0,0.0,0.0,2.0,5.0,4.0,1.0,0.0,8.0,28,7.0
12250,2015,Media,36,18,18,19,6.0,1.0,5.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,6.0,31,5.0
12251,2015,Media,16,5,11,4,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,11,5.0
12252,2015,Media,35,11,24,13,7.0,2.0,4.0,0.0,0.0,2.0,7.0,3.0,1.0,0.0,8.0,24,11.0
12253,2014,Media,17,5,12,3,3.0,0.0,4.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,6.0,11,6.0
12254,2014,Media,40,23,17,25,4.0,1.0,3.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,5.0,32,8.0
12255,2014,Media,41,16,25,20,5.0,2.0,2.0,0.0,0.0,1.0,11.0,2.0,0.0,0.0,6.0,25,16.0
12256,2013,Media,11,5,6,5,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7,4.0
12257,2013,Media,43,17,25,25,4.0,1.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,27,16.0
12258,2013,Media,38,20,18,20,7.0,2.0,4.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,33,5.0
12259,2012,Media,9,5,4,4,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,5,4.0
12260,2012,Media,49,18,30,33,3.0,4.0,3.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,42,7.0
12261,2012,Media,56,34,22,40,4.0,5.0,4.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,52,4.0
12262,2011,Media,36,22,14,27,3.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,34,2.0
12263,2011,Media,36,21,15,23,1.0,3.0,1.0,0.0,0.0,2.0,6.0,4.0,0.0,0.0,0.0,27,9.0
12264,2011,Media,46,16,30,26,8.0,6.0,4.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,41,5.0
